example_id,source,source_row,length_bin,token_count,quality_score
9ad7e696bc13c64932fab82c002be9be42571dd4fee5947528f42a7d5b749606,smol-constraints,651,0-255,144,0.976485
1fdbf82847d994b5071977c991ea67c87527d721c423e76cad952f343b9abe3c,smol-constraints,1599,0-255,154,0.973714
155137ead329e6d14ed22680da34f4657fcd4acc63fea0c97a5db988b1502e62,smol-constraints,1939,0-255,201,0.967122
716b5ce1b95120c12f334096f70e4ac31b3a8d9ed37ec60a2a4b827294989555,smol-constraints,2995,0-255,208,0.966341
6161701cfa14c11d347520fbbfdf017cd4d66b465253b441a0806064a9b4a73f,smol-constraints,3278,0-255,183,0.969428
5df6eb22dbbd6aa9404cbbbe3689924a0187abbb96974b03c93442cf1309271f,smol-constraints,3980,0-255,213,0.963245
bb312182effe4ee14651239d8370f3bd0959b90b144e34434e72f5df46a5b438,smol-constraints,4221,0-255,171,0.949167
bf87203441d23e444f47dcf5eb56624c0b93ca4829f099071f9774ff67c5be61,smol-constraints,4394,0-255,177,0.977263
ca9b7a7f4852e4040ab1f1a490ee700f520b47b01b084dea28dcb4eecf027390,smol-constraints,5463,0-255,177,0.962699
2824422098e9249ae5678ceb3bc3f45149d9d0b5679b4f8b5f90b47598b47db4,smol-constraints,5637,0-255,155,0.984072
026dcedf228a0375864a8f0c3986c75bdb5372039cda0f02cb02279d39a9850e,smol-constraints,6004,0-255,146,0.939341
7dc7a4d796189e471b4b6806752b8019f57086cf200131a83acceee029556ff3,smol-constraints,6078,0-255,39,0.761957
8c90ee2cba274939ee61a3cbf9383210ac19b598ce1c356ae424d0bcbb6d9bd5,smol-constraints,6087,0-255,151,0.967399
9c772bc40094e404010240eecac099e67856e03c39ec354be6f05c0deeb420af,smol-constraints,6138,0-255,208,0.979006
da631fdf48c0ae0f6ba3c653a5388edc1355871d8be44da077ed13d72b533582,smol-constraints,6569,0-255,157,0.979301
eafe8d3349a1391f5b4894d04587e6841ce1aecfa55a93a8c7fed2b6d9d319e5,smol-constraints,7192,0-255,144,0.96904
d6f8eb7256882f8352e679c262b33e4a5fcfda88df0438c4bf1d5cbdf5b65bd5,smol-constraints,7678,0-255,169,0.973302
6227349f3dbf8a19d8394b907f0173f783519941b2abafd6bf953ba97615d349,smol-constraints,7752,0-255,221,0.969556
e09b3559294cd57271f557156907cd143594e2b831f1d97dfbb0ef16eb4adfd3,smol-constraints,8185,0-255,240,0.967109
3815aaa0504b5ea7d1ce6713002a03743205fdcf9b5211a816e622438c1276f0,smol-constraints,8208,256-511,302,0.966844
4abcee4f3846991438bbec270a648ecb080baafad1f8df8d64533cebf38ff077,smol-constraints,9730,256-511,258,0.936728
ab50c40e1c8ac0d826940ac9b3afa44402ba559f36ddebfd53833ca79a375d98,smol-constraints,9911,0-255,192,0.967856
eb0b35ee141b56b029e8bd99e96880e461ba590d5fd9446d3a92beeafd758933,smol-constraints,10555,0-255,202,0.982129
ee4565368fa7bed2f5d15414a687926e27902b8dbe445d81cd242a329b01b889,smol-constraints,10568,0-255,158,0.97772
3b34617104a5fc835fbb01f791fcc5a6366c650807f59bcfe800a61ccc77b486,smol-constraints,10897,0-255,166,0.969465
698f4d4135e00914d07fb76bde7f2726dd6846ff907b3f27cbe3967ac2600f66,smol-constraints,11065,0-255,223,0.973578
7198246ff2e6d278b072b9df888e5d40ec7199e5157586956bc4e088056c11d3,smol-constraints,12008,0-255,165,0.945005
41e45fb809be4b14bbdbc171eb65a14e500fb6fa3d948cb81df20aa6fd2477a0,smol-constraints,12756,0-255,195,0.969236
c67e5a8bc7f1aa29f64ddcd6f5a8823e2d0edeaaa57277cc2885b8007838e195,smol-constraints,12924,0-255,174,0.982544
701404441e21149e7d49fe6fc2ba32524132a915bd75866693ea0ad364dbd483,smol-constraints,13671,0-255,216,0.953818
8538e04d79dd8bfe18ec056bd62c3b1e85ded43c8afcc2a78cc9439b843be49c,smol-constraints,13772,256-511,267,0.958431
